Time,Max Temperature (°C)
1/1/1991,31.950865
2/1/1991,32.35493
3/1/1991,32.438538
4/1/1991,32.70155
5/1/1991,32.91478
6/1/1991,32.70285
7/1/1991,32.66393
8/1/1991,32.414207
9/1/1991,32.244125
10/1/1991,32.216496
11/1/1991,32.101566
12/1/1991,32.13373
13/1/1991,32.131454
14/1/1991,32.223415
15/1/1991,32.038303
16/1/1991,32.08321
17/1/1991,32.31337
18/1/1991,32.58631
19/1/1991,32.4054
20/1/1991,32.953846
21/1/1991,32.85472
22/1/1991,32.737587
23/1/1991,32.793724
24/1/1991,32.583805
25/1/1991,32.3137
26/1/1991,32.431553
27/1/1991,32.383503
28/1/1991,32.423553
29/1/1991,32.682827
30/1/1991,32.42154
31/1/1991,32.766872
1/2/1991,32.782707
2/2/1991,32.69311
3/2/1991,32.449093
4/2/1991,32.864075
5/2/1991,32.99875
6/2/1991,32.88322
7/2/1991,33.050888
8/2/1991,32.853996
9/2/1991,33.15901
10/2/1991,33.32731
11/2/1991,33.593033
12/2/1991,33.656616
13/2/1991,33.35189
14/2/1991,33.541374
15/2/1991,33.838688
16/2/1991,33.967937
17/2/1991,34.067062
18/2/1991,33.69553
19/2/1991,33.91909
20/2/1991,33.724216
21/2/1991,33.661118
22/2/1991,34.117874
23/2/1991,34.051964
24/2/1991,34.29662
25/2/1991,34.32615
26/2/1991,34.27244
27/2/1991,34.00489
28/2/1991,34.243694
1/3/1991,34.093185
2/3/1991,34.08722
3/3/1991,34.373104
4/3/1991,34.26582
5/3/1991,34.414665
6/3/1991,34.775166
7/3/1991,34.534706
8/3/1991,34.49731
9/3/1991,33.991646
10/3/1991,34.17256
11/3/1991,34.517
12/3/1991,34.62661
13/3/1991,34.767406
14/3/1991,34.492027
15/3/1991,34.60419
16/3/1991,34.475792
17/3/1991,34.570435
18/3/1991,34.88851
19/3/1991,35.028885
20/3/1991,34.96684
21/3/1991,34.767593
22/3/1991,34.73064
23/3/1991,34.841366
24/3/1991,35.10368
25/3/1991,34.790665
26/3/1991,34.624947
27/3/1991,34.727577
28/3/1991,34.912357
29/3/1991,34.72933
30/3/1991,34.926945
31/3/1991,35.066647
1/4/1991,35.154705
2/4/1991,35.442112
3/4/1991,35.826115
4/4/1991,35.480965
5/4/1991,35.38499
6/4/1991,35.342937
7/4/1991,35.28803
8/4/1991,34.96856
9/4/1991,35.826195
10/4/1991,35.844135
11/4/1991,35.66526
12/4/1991,35.383396
13/4/1991,35.590324
14/4/1991,35.78339
15/4/1991,35.335667
16/4/1991,35.69887
17/4/1991,35.51604
18/4/1991,36.079113
19/4/1991,36.108814
20/4/1991,36.2406
21/4/1991,36.160027
22/4/1991,36.065018
23/4/1991,36.012592
24/4/1991,36.110264
25/4/1991,35.714165
26/4/1991,35.543907
27/4/1991,35.737976
28/4/1991,35.144253
29/4/1991,35.144794
30/4/1991,35.391533
1/5/1991,35.362083
2/5/1991,35.579296
3/5/1991,35.512386
4/5/1991,35.578995
5/5/1991,35.293415
6/5/1991,35.509983
7/5/1991,35.7566
8/5/1991,35.682465
9/5/1991,35.39097
10/5/1991,35.32674
11/5/1991,35.10894
12/5/1991,35.04093
13/5/1991,34.263817
14/5/1991,34.59356
15/5/1991,34.944515
16/5/1991,34.988285
17/5/1991,34.53069
18/5/1991,34.188637
19/5/1991,34.293842
20/5/1991,34.4207
21/5/1991,34.63193
22/5/1991,34.477375
23/5/1991,34.73277
24/5/1991,35.038353
25/5/1991,34.78478
26/5/1991,34.575737
27/5/1991,34.66879
28/5/1991,34.80735
29/5/1991,34.779884
30/5/1991,34.330845
31/5/1991,34.42198
1/6/1991,34.895622
2/6/1991,34.60448
